,name,coordinates,Bed,Bath,parking,price,closestTrain,closestTram,closeTrainKM
https://www.domain.com.au/98-south-circular-road-gladstone-park-vic-3043-16610097,98 South Circular Road Gladstone Park VIC 3043,[-37.6920879 144.8904217],4,1,1,600.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/21-gladstone-park-drive-gladstone-park-vic-3043-16622853,21 Gladstone Park Drive Gladstone Park VIC 3043,[-37.6890399 144.8838379],5,1,1,580.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/12-dolphin-court-gladstone-park-vic-3043-16628770,12 Dolphin Court Gladstone Park VIC 3043,[-37.6852548 144.8854785],3,1,3,550.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/8-hardy-close-gladstone-park-vic-3043-16646910,8 Hardy Close Gladstone Park VIC 3043,[-37.6821492 144.8854785],3,1,1,510.0,POINT (144.91961915965845 -37.68303579092379),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/29-seggan-circle-gowanbrae-vic-3043-16586526,29 Seggan Circle Gowanbrae VIC 3043,[-37.7066416 144.8963431],3,2,2,2173.0,POINT (144.91722585235908 -37.704522842514955),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/3-9-finningley-drive-tullamarine-vic-3043-16654187,3/9 Finningley Drive Tullamarine VIC 3043,[-37.6966825 144.8849198],3,2,1,750.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/2-9-finningley-drive-tullamarine-vic-3043-16654108,2/9 Finningley Drive Tullamarine VIC 3043,[-37.6966825 144.8849198],2,2,1,730.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/1-22-birch-avenue-tullamarine-vic-3043-16639349,1/22 Birch Avenue Tullamarine VIC 3043,[-37.7057503 144.8807621],2,1,3,545.0,POINT (144.91722585235908 -37.704522842514955),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/7-theresa-street-tullamarine-vic-3043-16620246,7 Theresa Street Tullamarine VIC 3043,[-37.70037   144.8789024],3,1,2,2172.0,POINT (144.9158571521166 -37.69511784361399),POINT (144.89056784619248 -37.71382685956854),3
https://www.domain.com.au/1-24-waratah-avenue-tullamarine-vic-3043-16652746,1/24 Waratah Avenue Tullamarine VIC 3043,[-37.7048505 144.8826663],3,1,1,500.0,POINT (144.91722585235908 -37.704522842514955),POINT (144.89056784619248 -37.71382685956854),3
